,City,Year,Company,Model,Variant,KM_Driven,No._of_Owners,Fuel_Type,Calculated_Score,Original_Price,Discount,On_Road_Price,Ex_Showroom_Price
1885,Mumbai,2021,MARUTI,NEW  WAGON-R,LXI CNG 1.0 L,24347,2,Petrol + CNG,507000,663599,24700,638899,629211
1886,Mumbai,2012,MARUTI,SWIFT DZIRE,ZXI 1.2 BS IV,76869,2,Petrol,140000,421299,13500,407799,398111
1887,Mumbai,2020,MARUTI,NEW  WAGON-R,LXI CNG 1.0 L,18067,1,Petrol + CNG,474000,609899,0,609899,597711
1888,Mumbai,2012,MARUTI,SWIFT DZIRE,VXI,87730,1,Petrol,181000,394699,7800,386899,373001
1889,Mumbai,2015,MARUTI,SWIFT DZIRE,VXI,10218,1,Petrol,520000,491799,0,491799,482111
1890,Mumbai,2021,MARUTI,NEW  WAGON-R,LXI CNG 1.0 L,15954,1,Petrol + CNG,715000,687199,0,687199,677511
1891,Mumbai,2014,MARUTI,SWIFT,VXI,39653,1,Petrol,181000,445799,28400,417399,403501
1892,Mumbai,2021,MARUTI,NEW  WAGON-R,LXI CNG 1.0 L,14095,2,Petrol + CNG,507000,687199,0,687199,677511
1893,Mumbai,2013,MARUTI,SWIFT,VXI,39383,1,Petrol,181000,418299,0,418299,408611
1894,Mumbai,2022,MARUTI,CELERIO,VXI CNG,1793,1,Petrol + CNG,367000,752499,69500,682999,673311
1895,Mumbai,2015,MARUTI,ALTO K10,VXI,7593,1,Petrol,181000,299699,25000,274699,262157
1896,Mumbai,2012,HONDA,CITY,V AT,56589,1,Petrol,181000,439699,0,439699,425801
1897,Mumbai,2013,MARUTI,RITZ,VXI,40723,1,Petrol,181000,374299,0,374299,364611
1898,Mumbai,2021,HONDA,CITY,V MT PETROL,3252,1,Petrol,474000,1181999,54500,1127499,1113601
1899,Mumbai,2020,VOLKSWAGEN,POLO,Trendline 1.0 L Petrol,46697,1,Petrol + CNG,507000,635699,49400,586299,576611
1900,Mumbai,2011,MARUTI,WAGON R 1.0,LXI CNG,94024,1,Petrol + CNG,72000,258199,31800,226399,216711
1901,Mumbai,2013,VOLKSWAGEN,JETTA,TRENDLINE 1.4 TSI MT,76390,2,Petrol,140000,398099,33400,364699,350801
1902,Mumbai,2017,MARUTI,CELERIO,ZXI,40120,2,Petrol,169000,417799,39400,378399,365857
1903,Mumbai,2012,MARUTI,WAGON R 1.0,VXI,41276,1,Petrol,181000,289799,0,289799,277257
1904,Mumbai,2019,MARUTI,SWIFT,ZXI + AMT,36282,1,Petrol,507000,778799,0,778799,766611
1905,Mumbai,2021,MARUTI,NEW  WAGON-R,1.0 Lxi (o) cng,14926,1,Petrol + CNG,507000,699899,0,699899,690211
1906,Mumbai,2021,MARUTI,NEW  WAGON-R,ZXI 1.2,3955,2,Petrol,367000,681599,29800,651799,642111
1907,Mumbai,2021,MARUTI,NEW  WAGON-R,ZXI 1.2L AGS,5310,1,Petrol,474000,741599,37900,703699,694011
1908,Mumbai,2013,VOLKSWAGEN,POLO,HIGHLINE1.2L PETROL,39352,2,Petrol,181000,389699,5000,384699,370801
1909,Mumbai,2015,HYUNDAI,GRAND I10,MAGNA 1.2 VTVT,37356,2,Petrol,181000,421999,44400,377599,367911
1910,Mumbai,2020,HYUNDAI,AURA,S CRDI AMT,13643,1,Diesel,474000,868099,0,868099,858411
